Year - Month,borough,Residual Free Chlorine (mg/L),Turbidity (NTU),Fluoride (mg/L),Coliform_float,Ecoli_float,TOTALCOLLECTED,Traffic_Volume,date_str
2015-02,Bronx,0.6406511627906977,1.101627906976744,0.8131182795698926,0.0,0.0,2634.766666666667,980.0,2015-02
2015-02,Brooklyn,0.49827586206896557,1.0872413793103448,0.815,0.0,0.0,3745.5944444444444,4927.555555555556,2015-02
2015-03,Bronx,0.628407960199005,1.1807462686567165,0.8011956521739131,0.004975124378109453,0.0,3215.9,19811.222222222223,2015-03
2015-03,Brooklyn,0.49623762376237623,1.1508415841584159,0.7933333333333333,0.0,0.0,4471.377777777778,2927.1111111111113,2015-03
2015-03,Manhattan,0.43248322147651,1.1612751677852349,0.8016666666666667,0.0,0.0,3745.883333333333,70633.22222222222,2015-03
2015-03,Staten Island,0.5353333333333333,1.1656666666666666,0.79,0.0,0.0,5623.833333333333,14079.555555555555,2015-03
2015-09,Bronx,0.9242857142857143,1.0657142857142856,0.7200000000000001,0.0,0.0,3312.0083333333337,855382.5555555555,2015-09
2015-09,Manhattan,0.5433333333333333,1.1155555555555554,0.74,0.2222222222222222,0.0,3851.5833333333335,629531.7777777778,2015-09
2015-10,Bronx,0.952,1.0879999999999999,0.715,69.0,0.0,3269.525,54034.666666666664,2015-10
2015-10,Manhattan,0.355,0.8300000000000001,0.73,100.25,0.0,3998.0499999999997,364106.76923076925,2015-10
2015-10,Queens,0.6466666666666667,1.0333333333333334,0.73,23.333333333333332,0.0,5207.771428571429,184648.375,2015-10
2015-11,Bronx,0.787,1.09,0.6833333333333332,0.0,0.0,3240.558333333333,170354.22727272726,2015-11
2016-02,Bronx,0.6503448275862069,1.0982758620689657,0.7013793103448276,0.0,0.0,3106.5416666666665,36501.666666666664,2016-02
2016-03,Bronx,0.7528571428571429,1.0460714285714285,0.71,0.0,0.0,3350.2333333333336,24041.066666666666,2016-03
2016-10,Queens,0.745,1.92,0.72,0.0,0.0,5139.507142857144,471208.1923076923,2016-10
2016-11,Staten Island,0.655,1.125,0.73,0.0,0.0,6613.233333333334,284362.4666666667,2016-11
2017-03,Bronx,0.79875,1.05,0.6749999999999999,0.0,0.0,3277.5166666666664,4657.444444444444,2017-03
2017-09,Bronx,0.295,0.89,0.67,0.5,0.0,3350.341666666667,206671.25,2017-09
2017-10,Bronx,0.9066666666666667,1.0566666666666666,0.735,0.0,0.0,3357.7916666666665,52422.21052631579,2017-10
2018-01,Bronx,0.7304999999999999,1.2269999999999999,0.743,5.0625,0.0,3392.5750000000003,35419.22222222222,2018-01
2018-03,Bronx,0.6864903846153846,1.139951923076923,0.7570588235294118,0.0,0.0,3306.625,24700.53846153846,2018-03
2018-03,Brooklyn,0.531264367816092,1.1611494252873562,0.7566666666666667,0.0,0.0,4562.033333333334,61951.90909090909,2018-03
2018-03,Manhattan,0.49759124087591244,1.167080291970803,0.7575000000000001,0.0,0.0,3861.5,35537.92307692308,2018-03
2018-03,Queens,0.5308433734939759,1.1400602409638554,0.765,0.018674698795180723,0.0,4816.307142857143,38177.63636363636,2018-03
2018-04,Bronx,0.6472222222222223,1.0666666666666667,0.72,0.0,0.0,3257.2083333333335,266963.8888888889,2018-04
2019-09,Bronx,0.836,0.992,0.705,0.2,0.0,3291.125,19427.555555555555,2019-09
2019-09,Manhattan,0.35714285714285715,1.262857142857143,0.7,0.0,0.0,3702.8250000000003,37330.77777777778,2019-09
2019-09,Queens,0.47333333333333333,0.8866666666666667,0.69,9.6,0.0,5134.65,259783.7,2019-09
2019-10,Bronx,0.7775,0.995,0.6966666666666667,2.475,0.0,3501.7833333333333,91581.0625,2019-10
2019-11,Bronx,0.8725,1.055,0.6866666666666666,0.0,0.0,3250.566666666667,398216.5625,2019-11
2020-10,Bronx,0.6975,0.8674999999999999,0.73,40.575,0.0,3875.9500000000003,236124.37931034484,2020-10
2020-11,Bronx,0.84,0.9866666666666667,0.71,0.3333333333333333,0.0,3714.15,20460.117647058825,2020-11
2021-05,Bronx,0.693918918918919,1.1427027027027028,0.7075,0.02702702702702703,0.0,3612.1,34931.88888888889,2021-05
